region,year,n_countries,n_countries_with_pop,internet_ggi_direct_unweighted,internet_ggi_direct_pop_weighted,internet_ggi_coherent_mean_of_ratios_unweighted,internet_ggi_coherent_mean_of_ratios_pop_weighted,internet_ggi_coherent_ratio_of_means_unweighted,internet_ggi_coherent_ratio_of_means_pop_weighted,mobile_ggi_direct_unweighted,mobile_ggi_direct_pop_weighted,mobile_ggi_coherent_mean_of_ratios_unweighted,mobile_ggi_coherent_mean_of_ratios_pop_weighted,mobile_ggi_coherent_ratio_of_means_unweighted,mobile_ggi_coherent_ratio_of_means_pop_weighted
South Asia,2018,8,8,0.6305000000000001,0.4981602972332167,0.6486886470395532,0.6081443231526406,0.6486886470395532,0.6081443231526406,0.799625,0.7140503614747161,0.7975502770992324,0.7196597899173797,0.7975502770992324,0.7196597899173797
South Asia,2019,8,8,0.6685625,0.5438870940588734,0.6856532534948933,0.6521548792662214,0.6857449127846711,0.6522189571676782,0.8183437499999999,0.7420417044323904,0.816914892949492,0.7467665452827809,0.8169560696195484,0.7468614150550319
South Asia,2020,8,8,0.68628125,0.5745766783718103,0.7109992813948007,0.6781356652453681,0.711035144572827,0.6781889838803968,0.8317083333333333,0.7597920396353749,0.8291753833509041,0.7617860739685823,0.8292092475792714,0.7618549668971885
South Asia,2021,8,8,0.7179375000000001,0.6227087908230753,0.7364296673782478,0.6993876989336665,0.736437788313819,0.6994076212326839,0.8510520833333333,0.7902671049510591,0.8421274453864622,0.7871782722462439,0.8421562427649242,0.7872221825424194
South Asia,2022,8,8,0.7190416666666667,0.6590946936560954,0.7284063144463514,0.7203482205620361,0.7284088376942324,0.7203540704163217,0.8484270833333334,0.8114937892672712,0.8369133085961706,0.8044270388448282,0.8369534943032225,0.8044510445921846
South Asia,2023,8,8,0.71275,0.6510195503274191,0.7332253687183318,0.7291463687772457,0.7332428675003465,0.7291826341497817,0.8421666666666667,0.8051863793947447,0.8316197737961688,0.7998983800982663,0.8317879363276128,0.8001495197324449
South Asia,2024,8,8,0.7611666666666668,0.7134466187317715,0.7435505959498212,0.7419185845308968,0.7436061782933439,0.7419454199876637,0.8704479166666668,0.8421476369650923,0.8547200631343312,0.8299776599148181,0.8548229407566957,0.8301080844282553
South Asia,2025,8,0,0.7878333333333334,,0.7656933851739806,,0.7657879544562864,,0.8850833333333333,,0.8729815054855089,,0.8730148842552157,
South Asia,2026,8,0,0.8073250000000001,,0.7787360538048991,,0.7787431567447143,,0.8951,,0.8848304990638449,,0.8848469707033679,
Sub-Saharan Africa,2015,47,47,0.5332127659574468,0.4971414969956552,0.4668556220283118,0.4326524675071664,0.4668556220283118,0.4326524675071664,0.7516382978723404,0.7296023431835605,0.7509424913895828,0.7305145641168659,0.7509424913895828,0.7305145641168659
Sub-Saharan Africa,2016,47,47,0.5530425531914892,0.5175835523230021,0.5169953674968941,0.4844598296777659,0.5169953674968941,0.4844598296777659,0.7618297872340426,0.7397809396823674,0.7620337547808506,0.740980929119269,0.7620337547808506,0.740980929119269
Sub-Saharan Africa,2017,47,47,0.5716808510638296,0.5370459055721586,0.5601248092884702,0.5393446900441055,0.5601248092884702,0.5393446900441055,0.7720425531914895,0.750422021628355,0.774005255492183,0.7531675988914556,0.774005255492183,0.7531675988914556
Sub-Saharan Africa,2018,47,47,0.5939148936170212,0.557241445339984,0.6069324288365504,0.590026755352811,0.6069324288365504,0.590026755352811,0.784914893617021,0.761811936904674,0.7891178805362457,0.7669501350695577,0.7891178805362457,0.7669501350695577
Sub-Saharan Africa,2019,47,47,0.6096932624113475,0.5700778191134216,0.6419674324249675,0.6237518559192243,0.6420150888746726,0.6238202186426096,0.792895390070922,0.7677652952936387,0.7977235481918353,0.7737484549126584,0.7977553378682632,0.7737849739258466
Sub-Saharan Africa,2020,47,47,0.6380336879432625,0.6091432040911604,0.6773679029650583,0.6720338083935219,0.6774274852571702,0.6720698784425523,0.8089964539007095,0.7914047073881426,0.8161429999386024,0.800667025196641,0.8161844025997455,0.8006882663665755
Sub-Saharan Africa,2021,47,47,0.657459219858156,0.6314729748557791,0.6957726171318365,0.692604659762816,0.6957955667946247,0.6926199077046513,0.8203156028368797,0.804487255637817,0.825807726121328,0.8124879065336186,0.8258206886328296,0.8124967891761926
Sub-Saharan Africa,2022,47,47,0.675072695035461,0.6516376329438602,0.7190596465036045,0.719611705263758,0.7190800331715559,0.7196270613192499,0.8295106382978725,0.8157137551223835,0.8347713777431686,0.8244688005146461,0.8347863727408924,0.8244799340308162
Sub-Saharan Africa,2023,47,47,0.6822553191489362,0.6569753061808162,0.7340850640934958,0.7334511793220411,0.7341654231649926,0.7335117585483966,0.8322127659574466,0.8173680533875163,0.837675677232845,0.82619216900405,0.8377203853483989,0.8262302441910494
Sub-Saharan Africa,2024,47,47,0.7159645390070922,0.6916686503853806,0.758069473718064,0.7554519774425457,0.7581170943690987,0.7554874891308251,0.850959219858156,0.8369710202796561,0.8536744321323637,0.8427935107896659,0.8537081590683717,0.8428221791780006
Sub-Saharan Africa,2025,47,0,0.74,,0.7753285486600319,,0.7753478130135132,,0.8637588652482269,,0.8648334756153352,,0.8648559958613543,
Sub-Saharan Africa,2026,47,0,0.7614255319148936,,0.7896592462807188,,0.789662072652672,,0.8751489361702128,,0.874634321850284,,0.8746372820274361,
